;id;en;full_ssp_name;lat;lng;type;time;date;file
61;202448;Northern Screamer;Chauna_chavaria_;9.2445;-71.7837;call;?;2009-02-03;https://www.xeno-canto.org/202448/download
62;6866;Northern Screamer;Chauna_chavaria_;9.1878;-71.7551;call;17:00;2006-08-10;https://www.xeno-canto.org/6866/download
63;225375;White-faced Whistling Duck;Dendrocygna_viduata_;7.5637;-69.4968;flight call;00:00;2010-04-05;https://www.xeno-canto.org/225375/download
64;125468;White-faced Whistling Duck;Dendrocygna_viduata_;7.711;-67.148;call;16:00;2012-12-27;https://www.xeno-canto.org/125468/download
65;118413;White-faced Whistling Duck;Dendrocygna_viduata_;7.711;-67.148;flight call;10:00;2012-12-28;https://www.xeno-canto.org/118413/download
66;109075;White-faced Whistling Duck;Dendrocygna_viduata_;10.0339;-69.5648;flight call ;8-20;2011-03-18;https://www.xeno-canto.org/109075/download
67;597601;Black-bellied Whistling Duck;Dendrocygna_autumnalis_;10.2003;-67.4645;adult, female, juvenile, male, song;09:30;2020-10-22;https://www.xeno-canto.org/597601/download
68;384400;Black-bellied Whistling Duck;Dendrocygna_autumnalis_;9.9039;-71.1039;flight call;08:00;2011-03-16;https://www.xeno-canto.org/384400/download
69;222333;Black-bellied Whistling Duck;Dendrocygna_autumnalis_;11.0;-68.4;call;?;1993-04-24;https://www.xeno-canto.org/222333/download
70;264362;Orinoco Goose;Neochen_jubata_;7.383;-67.35;flight calls;?;2005-01-00;https://www.xeno-canto.org/264362/download
71;247295;Orinoco Goose;Neochen_jubata_;7.5637;-69.4968;call;00:00;2000-10-10;https://www.xeno-canto.org/247295/download
72;247291;Orinoco Goose;Neochen_jubata_;7.059;-69.494;call;00:00;2000-02-02;https://www.xeno-canto.org/247291/download
73;43178;Orinoco Goose;Neochen_jubata_;7.058986;-69.494019;call;?:?;2007-12-00;https://www.xeno-canto.org/43178/download
74;6061;Orinoco Goose;Neochen_jubata_;7.5712;-69.1909;flight call;08:30;1984-12-11;https://www.xeno-canto.org/6061/download
